layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.793315408984199e-05,3.7929148675175384e-05,3.792513962252997e-05,3.7921130569884554e-05,3.791712151723914e-05,3.791310518863611e-05,3.790909249801189e-05,3.790507616940886e-05,3.7901063478784636e-05,3.78970435122028e-05,3.789302718359977e-05,3.788900357903913e-05,3.788497997447848e-05,3.788095636991784e-05,3.787692912737839e-05,3.787289824686013e-05,3.786887100432068e-05,3.786484376178123e-05,3.786080560530536e-05,3.78567747247871e-05
encoder.layers.0.self_connection.bias,9.578749995853286e-06,9.57842894422356e-06,9.578106073604431e-06,9.577784112480003e-06,9.577462151355576e-06,9.577139280736446e-06,9.576816410117317e-06,9.57649444899289e-06,9.57617157837376e-06,9.575849617249332e-06,9.575526746630203e-06,9.575203876011074e-06,9.574881914886646e-06,9.574559044267517e-06,9.574236173648387e-06,9.573912393534556e-06,9.573589522915427e-06,9.573266652296297e-06,9.57294469117187e-06,9.572620911058038e-06
encoder.layers.0.scale_self_conn.weight,9.795931873668451e-06,9.795499863685109e-06,9.795067853701767e-06,9.794634934223723e-06,9.79420292424038e-06,9.793770004762337e-06,9.793337085284293e-06,9.792904165806249e-06,9.792470336833503e-06,9.792036507860757e-06,9.791602678888012e-06,9.791168849915266e-06,9.79073502094252e-06,9.790300282475073e-06,9.789865544007625e-06,9.789430805540178e-06,9.78899606707273e-06,9.78855950961588e-06,9.788124771148432e-06,9.78768730419688e-06
encoder.layers.0.scale_self_conn.bias,3.3005653676809743e-06,3.3005289878929034e-06,3.3004926081048325e-06,3.300456455690437e-06,3.300420075902366e-06,3.3003834687406197e-06,3.3003473163262242e-06,3.3003109365381533e-06,3.300274329376407e-06,3.3002381769620115e-06,3.300201569800265e-06,3.3001651900121942e-06,3.300129264971474e-06,3.3000924304360524e-06,3.300055823274306e-06,3.3000192161125597e-06,3.299982381577138e-06,3.299946001789067e-06,3.2999093946273206e-06,3.2998725600918988e-06
encoder.layers.0.forward_edge.weight,3.299013042123988e-05,3.29869581037201e-05,3.2983785786200315e-05,3.298061346868053e-05,3.297743751318194e-05,3.2974265195662156e-05,3.2971089240163565e-05,3.2967909646686167e-05,3.296473005320877e-05,3.296155045973137e-05,3.2958367228275165e-05,3.295518399681896e-05,3.2952000765362754e-05,3.294881753390655e-05,3.294562702649273e-05,3.294244015705772e-05,3.2939253287622705e-05,3.293605914223008e-05,3.293286863481626e-05,3.292967812740244e-05
encoder.layers.0.forward_edge.bias,8.941605301515665e-06,8.941329724621028e-06,8.941052328736987e-06,8.94077675184235e-06,8.940502993937116e-06,8.940227417042479e-06,8.93995093065314e-06,8.939675353758503e-06,8.939398867369164e-06,8.939124199969228e-06,8.938848623074591e-06,8.938573046179954e-06,8.938297469285317e-06,8.93802189239068e-06,8.93774540600134e-06,8.937470738601405e-06,8.937194252212066e-06,8.93691958481213e-06,8.936643098422792e-06,8.936368431022856e-06
encoder.layers.0.scale_forward.weight,8.72127839102177e-06,8.720761798031162e-06,8.720245205040555e-06,8.719728612049948e-06,8.71921110956464e-06,8.71869360707933e-06,8.71817519509932e-06,8.717657692614011e-06,8.717139280634001e-06,8.71662086865399e-06,8.716103366168682e-06,8.715583135199267e-06,8.715064723219257e-06,8.714545401744545e-06,8.714026080269832e-06,8.713505849300418e-06,8.712985618331004e-06,8.71246538736159e-06,8.711945156392176e-06,8.711424925422762e-06
encoder.layers.0.scale_forward.bias,2.469343598932028e-06,2.4693117666174658e-06,2.4692803890502546e-06,2.4692485567356925e-06,2.469216951794806e-06,2.4691853468539193e-06,2.4691541966603836e-06,2.4691223643458216e-06,2.4690905320312595e-06,2.469058927090373e-06,2.469027094775811e-06,2.4689952624612488e-06,2.4689634301466867e-06,2.4689318252058e-06,2.468900447638589e-06,2.4688683879503515e-06,2.468836328262114e-06,2.4688042685738765e-06,2.46877266363299e-06,2.4687406039447524e-06
encoder.layers.0.back_edge.weight,3.212883893866092e-05,3.212498631910421e-05,3.212113006156869e-05,3.2117273804033175e-05,3.211341390851885e-05,3.2109554013004526e-05,3.21056941174902e-05,3.210183422197588e-05,3.209796705050394e-05,3.209410351701081e-05,3.2090239983517677e-05,3.208637281204574e-05,3.208250200259499e-05,3.207863119314425e-05,3.207476402167231e-05,3.2070889574242756e-05,3.20670151268132e-05,3.206314067938365e-05,3.2059258955996484e-05,3.205538450856693e-05
encoder.layers.0.back_edge.bias,8.40440497995587e-06,8.404104846704286e-06,8.4038047134527e-06,8.403503670706414e-06,8.40320444694953e-06,8.402903404203244e-06,8.402603270951658e-06,8.402303137700073e-06,8.402002094953787e-06,8.4017010522075e-06,8.401400009461213e-06,8.401098966714926e-06,8.40079792396864e-06,8.40049597172765e-06,8.400194928981364e-06,8.399893886235077e-06,8.399591933994088e-06,8.3992899817531e-06,8.398988029512111e-06,8.398686077271122e-06
