layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.9800819649826735e-05,3.980050314567052e-05,3.9800183003535494e-05,3.9799870137358084e-05,3.979954999522306e-05,3.9799229853088036e-05,3.979891334893182e-05,3.9798593206796795e-05,3.979827306466177e-05,3.9797956560505554e-05,3.979763278039172e-05,3.97973126382567e-05,3.9796992496121675e-05,3.979667599196546e-05,3.9796355849830434e-05,3.979603570769541e-05,3.979571920353919e-05,3.979539542342536e-05,3.979507528129034e-05,3.979475513915531e-05
encoder.layers.0.self_connection.bias,8.109406735457014e-06,8.109369446174242e-06,8.109331247396767e-06,8.109292139124591e-06,8.109253940347116e-06,8.10921483207494e-06,8.109174814308062e-06,8.10913752502529e-06,8.109098416753113e-06,8.109059308480937e-06,8.109021109703463e-06,8.108982001431286e-06,8.108943802653812e-06,8.108904694381636e-06,8.10886558610946e-06,8.108827387331985e-06,8.108787369565107e-06,8.108749170787632e-06,8.108710972010158e-06,8.108671863737982e-06
encoder.layers.0.scale_self_conn.weight,7.562626706203446e-06,7.562610790046165e-06,7.5625957833835855e-06,7.562580776721006e-06,7.562564405816374e-06,7.562548944406444e-06,7.562533482996514e-06,7.562518021586584e-06,7.562502560176654e-06,7.562486644019373e-06,7.562471182609443e-06,7.562455266452162e-06,7.5624393502948806e-06,7.5624238888849504e-06,7.562407972727669e-06,7.562392056570388e-06,7.562376140413107e-06,7.562360224255826e-06,7.562344308098545e-06,7.562328846688615e-06
encoder.layers.0.scale_self_conn.bias,3.0210351269488456e-06,3.021033762706793e-06,3.0210323984647403e-06,3.0210310342226876e-06,3.021029215233284e-06,3.021028078364907e-06,3.0210264867491787e-06,3.021025122507126e-06,3.021023530891398e-06,3.02102193927567e-06,3.0210203476599418e-06,3.0210187560442137e-06,3.0210176191758364e-06,3.0210160275601083e-06,3.0210146633180557e-06,3.0210130717023276e-06,3.0210114800865995e-06,3.0210098884708714e-06,3.0210082968551433e-06,3.0210069326130906e-06
encoder.layers.0.forward_edge.weight,3.8223231968004256e-05,3.822291546384804e-05,3.822259895969182e-05,3.822227517957799e-05,3.8221958675421774e-05,3.822164217126556e-05,3.822132202913053e-05,3.822100188699551e-05,3.822068538283929e-05,3.822036160272546e-05,3.8220045098569244e-05,3.821972495643422e-05,3.8219404814299196e-05,3.821908831014298e-05,3.821876453002915e-05,3.8218444387894124e-05,3.821812788373791e-05,3.821780774160288e-05,3.821748759946786e-05,3.821716381935403e-05
encoder.layers.0.forward_edge.bias,7.260640359163517e-06,7.26061625755392e-06,7.260592610691674e-06,7.260567599587375e-06,7.2605430432304274e-06,7.2605184868734796e-06,7.260493930516532e-06,7.260469828906935e-06,7.260444817802636e-06,7.260420716193039e-06,7.260396614583442e-06,7.2603706939844415e-06,7.260347047122195e-06,7.260322036017897e-06,7.2602979344083e-06,7.260273378051352e-06,7.260248366947053e-06,7.260224265337456e-06,7.260199708980508e-06,7.26017515262356e-06
encoder.layers.0.scale_forward.weight,1.1875908967340365e-05,1.1875861673615873e-05,1.1875812560901977e-05,1.1875767086166888e-05,1.1875719792442396e-05,1.18756706797285e-05,1.1875623386004008e-05,1.1875576092279516e-05,1.1875528798555024e-05,1.1875481504830532e-05,1.1875433301611338e-05,1.1875386917381547e-05,1.1875338714162353e-05,1.187529051094316e-05,1.1875243217218667e-05,1.1875195923494175e-05,1.187514681078028e-05,1.1875100426550489e-05,1.1875052223331295e-05,1.1875004020112101e-05
encoder.layers.0.scale_forward.bias,2.2567346604773775e-06,2.2567337509826757e-06,2.256732386740623e-06,2.2567317046195967e-06,2.256730340377544e-06,2.2567294308828423e-06,2.256728294014465e-06,2.256727157146088e-06,2.256726247651386e-06,2.256725110783009e-06,2.256724201288307e-06,2.25672306441993e-06,2.2567219275515527e-06,2.256721018056851e-06,2.256720108562149e-06,2.256718516946421e-06,2.2567176074517192e-06,2.256716470583342e-06,2.256715333714965e-06,2.256713969472912e-06
encoder.layers.0.back_edge.weight,3.857115370919928e-05,3.8570822653127834e-05,3.8570484321098775e-05,3.857014962704852e-05,3.856981493299827e-05,3.85694729629904e-05,3.856913826894015e-05,3.856879993691109e-05,3.856846524286084e-05,3.8568130548810586e-05,3.856779221678153e-05,3.856745388475247e-05,3.856711555272341e-05,3.8566780858673155e-05,3.8566442526644096e-05,3.8566104194615036e-05,3.856576586258598e-05,3.856542753055692e-05,3.856508919852786e-05,3.85647508664988e-05
encoder.layers.0.back_edge.bias,9.492100616625976e-06,9.492085155216046e-06,9.492069693806116e-06,9.492054232396185e-06,9.492037861491553e-06,9.492021490586922e-06,9.492006029176991e-06,9.49198965827236e-06,9.491975106357131e-06,9.491957825957797e-06,9.491942364547867e-06,9.491925993643235e-06,9.491910532233305e-06,9.491895070823375e-06,9.491878699918743e-06,9.491862329014111e-06,9.491846867604181e-06,9.49183049669955e-06,9.491815035289619e-06,9.491799573879689e-06
encoder.layers.0.scale_back.weight,9.601618330634665e-06,9.601596502761822e-06,9.601573765394278e-06,9.601551937521435e-06,9.601530109648593e-06,9.601509191270452e-06,9.601485544408206e-06,9.601463716535363e-06,9.60144188866252e-06,9.601420060789678e-06,9.601398232916836e-06,9.601375495549291e-06,9.601353667676449e-06,9.601331839803606e-06,9.601309102436062e-06,9.60128727456322e-06,9.601264537195675e-06,9.601242709322833e-06,9.601219971955288e-06,9.601199053577147e-06
encoder.layers.0.scale_back.bias,3.2764132811280433e-06,3.2764112347649643e-06,3.276410097896587e-06,3.276408506280859e-06,3.2764073694124818e-06,3.2764057777967537e-06,3.27640395880735e-06,3.2764025945652975e-06,3.276401230323245e-06,3.2763996387075167e-06,3.2763980470917886e-06,3.276396682849736e-06,3.276394636486657e-06,3.2763934996182797e-06,3.276392135376227e-06,3.276390543760499e-06,3.276388952144771e-06,3.2763873605290428e-06,3.2763862236606656e-06,3.276384404671262e-06
