layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.272709727752954e-05,3.272523463238031e-05,3.27231791743543e-05,3.2720960007281974e-05,3.271858804509975e-05,3.271607056376524e-05,3.271344394306652e-05,3.2710700907045975e-05,3.270785964559764e-05,3.270492743467912e-05,3.270191518822685e-05,3.269883745815605e-05,3.26956833305303e-05,3.269248554715887e-05,3.268922955612652e-05,3.268592627136968e-05,3.2682568416930735e-05,3.267918873461895e-05,3.2675761758582667e-05,3.267232023063116e-05
encoder.layers.0.self_connection.bias,8.731493835512083e-06,8.731127309147269e-06,8.73076896823477e-06,8.73041517479578e-06,8.730068657314405e-06,8.729726687306538e-06,8.72938926477218e-06,8.729056389711332e-06,8.72872715262929e-06,8.728401553526055e-06,8.728077773412224e-06,8.7277576312772e-06,8.727440217626281e-06,8.727124622964766e-06,8.726810847292654e-06,8.726498890609946e-06,8.726188752916642e-06,8.725879524718039e-06,8.72557211550884e-06,8.725266525289044e-06
encoder.layers.0.scale_self_conn.weight,6.605097951251082e-06,6.605057478736853e-06,6.60499927107594e-06,6.604924692510394e-06,6.604835562029621e-06,6.604734153370373e-06,6.6046200117853004e-06,6.6044954110111576e-06,6.604361260542646e-06,6.6042193793691695e-06,6.604068403248675e-06,6.6039110606652685e-06,6.603747351618949e-06,6.603577276109718e-06,6.603403107874328e-06,6.603223937418079e-06,6.60303976474097e-06,6.602851954085054e-06,6.6026614149450324e-06,6.602467692573555e-06
encoder.layers.0.scale_self_conn.bias,2.903207132476382e-06,2.903443601098843e-06,2.9036536943749525e-06,2.9038399134151405e-06,2.904004759329837e-06,2.904150051108445e-06,2.904278289861395e-06,2.904390612457064e-06,2.904489065258531e-06,2.9045745577604976e-06,2.904648681578692e-06,2.9047125735814916e-06,2.9047669158899225e-06,2.904813300119713e-06,2.9048519536445383e-06,2.9048837859591004e-06,2.904909706558101e-06,2.9049299428152153e-06,2.90494517685147e-06,2.904955863414216e-06
encoder.layers.0.forward_edge.weight,3.300329262856394e-05,3.300212119938806e-05,3.300078242318705e-05,3.299928721389733e-05,3.2997646485455334e-05,3.2995867513818666e-05,3.29939866787754e-05,3.299200034234673e-05,3.298991214251146e-05,3.298774754512124e-05,3.298550291219726e-05,3.2983185519697145e-05,3.2980809919536114e-05,3.297837247373536e-05,3.297588773421012e-05,3.297335933893919e-05,3.2970787287922576e-05,3.296818977105431e-05,3.296554132248275e-05,3.296287832199596e-05
encoder.layers.0.forward_edge.bias,8.654673365526833e-06,8.654176781419665e-06,8.653700206195936e-06,8.65324091137154e-06,8.652797077957075e-06,8.65236870595254e-06,8.651952157379128e-06,8.651546522742137e-06,8.651151802041568e-06,8.650767085782718e-06,8.650389645481482e-06,8.650020390632562e-06,8.649657502246555e-06,8.649301889818162e-06,8.648950824863277e-06,8.648604307381902e-06,8.648263246868737e-06,8.647926733829081e-06,8.647593858768232e-06,8.64726462168619e-06
encoder.layers.0.scale_forward.weight,9.021681762533262e-06,9.021578989631962e-06,9.021409823617432e-06,9.02117790246848e-06,9.020892321132123e-06,9.020555808092467e-06,9.020175639307126e-06,9.019754543260206e-06,9.019297067425214e-06,9.01880775927566e-06,9.018287528306246e-06,9.017741831485182e-06,9.01717157830717e-06,9.016579497256316e-06,9.015968316816725e-06,9.015338946483098e-06,9.014694114739541e-06,9.014033821586054e-06,9.013360795506742e-06,9.012676855491009e-06
encoder.layers.0.scale_forward.bias,2.3618786144652404e-06,2.3619868443347514e-06,2.362082113904762e-06,2.3621653326699743e-06,2.3622378648724407e-06,2.3623008473805385e-06,2.3623551896889694e-06,2.3624013465450844e-06,2.362440682190936e-06,2.3624736513738753e-06,2.3625009362149285e-06,2.3625229914614465e-06,2.3625404992344556e-06,2.3625536869076313e-06,2.3625630092283245e-06,2.3625691483175615e-06,2.3625721041753422e-06,2.3625723315490177e-06,2.3625700578122633e-06,2.36256573771243e-06
encoder.layers.0.back_edge.weight,3.1607520213583484e-05,3.1605741241946816e-05,3.1603802199242637e-05,3.160172127536498e-05,3.159951666020788e-05,3.159718107781373e-05,3.1594736356055364e-05,3.1592207960784435e-05,3.158960316795856e-05,3.1586903787683696e-05,3.1584138923790306e-05,3.1581315852236e-05,3.157843093504198e-05,3.1575495086144656e-05,3.1572508305544034e-05,3.1569492421112955e-05,3.1566429242957383e-05,3.156334059895016e-05,3.156021557515487e-05,3.1557068723486736e-05
encoder.layers.0.back_edge.bias,9.258834325009957e-06,9.258689715352375e-06,9.258536010747775e-06,9.258373211196158e-06,9.258201316697523e-06,9.258023055735976e-06,9.257836609322112e-06,9.25764561543474e-06,9.257448255084455e-06,9.257246347260661e-06,9.257039891963359e-06,9.256828889192548e-06,9.256613338948227e-06,9.256395969714504e-06,9.256174962501973e-06,9.255952136300039e-06,9.255725672119297e-06,9.255497388949152e-06,9.255267286789604e-06,9.255036275135353e-06
